scope,threshold_min,affected_rentals,affected_share_of_scope,affected_share_of_all_rentals,solved_problematic_cases,solved_share_of_scope_problematic_cases,solved_share_of_all_problematic_cases,efficiency_solved_per_affected
all,0,0,0.0,0.0,0,0.0,0.0,0.0
all,30,279,0.15154807170016296,0.01309244486156734,116,0.5321100917431193,0.5321100917431193,0.4157706093189964
all,60,401,0.2178164041281912,0.018817456593148756,146,0.6697247706422018,0.6697247706422018,0.3640897755610973
all,90,584,0.31721890277023357,0.027404974190520882,172,0.7889908256880734,0.7889908256880734,0.2945205479452055
all,120,666,0.3617599130907116,0.031252932895354295,180,0.8256880733944955,0.8256880733944955,0.2702702702702703
all,150,803,0.43617599130907114,0.037681839511966214,192,0.8807339449541285,0.8807339449541285,0.23910336239103364
all,180,870,0.4725692558392178,0.04082590333176912,196,0.8990825688073395,0.8990825688073395,0.22528735632183908
all,210,953,0.5176534492123845,0.04472078836227123,200,0.9174311926605505,0.9174311926605505,0.2098635886673662
all,240,1001,0.5437262357414449,0.04697325199436884,202,0.926605504587156,0.926605504587156,0.2017982017982018
all,270,1068,0.5801195002715915,0.05011731581417175,207,0.9495412844036697,0.9495412844036697,0.19382022471910113
all,300,1106,0.6007604562737643,0.05190051618958236,207,0.9495412844036697,0.9495412844036697,0.1871609403254973
all,330,1144,0.621401412275937,0.05368371656499296,208,0.9541284403669725,0.9541284403669725,0.18181818181818182
all,360,1170,0.6355241716458446,0.054903801032379164,208,0.9541284403669725,0.9541284403669725,0.17777777777777778
all,390,1211,0.6577946768060836,0.05682778038479587,208,0.9541284403669725,0.9541284403669725,0.1717588769611891
all,420,1226,0.665942422596415,0.057531675269826374,208,0.9541284403669725,0.9541284403669725,0.16965742251223492
all,450,1267,0.688212927756654,0.05945565462224308,209,0.9587155963302753,0.9587155963302753,0.164956590370955
all,480,1290,0.7007061379684953,0.06053496011262318,211,0.9678899082568807,0.9678899082568807,0.1635658914728682
all,510,1332,0.7235198261814232,0.06250586579070859,211,0.9678899082568807,0.9678899082568807,0.15840840840840842
all,540,1368,0.7430744160782183,0.06419521351478179,213,0.9770642201834863,0.9770642201834863,0.15570175438596492
all,570,1405,0.7631721890277023,0.0659314875645237,214,0.981651376146789,0.981651376146789,0.15231316725978647
all,600,1449,0.7870722433460076,0.06799624589394651,215,0.9862385321100917,0.9862385321100917,0.14837819185645273
all,630,1521,0.8261814231395981,0.07137494134209292,215,0.9862385321100917,0.9862385321100917,0.14135437212360288
all,660,1574,0.8549701249321021,0.07386203660253401,216,0.9908256880733946,0.9908256880733946,0.1372299872935197
all,690,1646,0.8940793047256925,0.07724073205068044,216,0.9908256880733946,0.9908256880733946,0.13122721749696234
all,720,1711,0.9293862031504617,0.08029094321914594,216,0.9908256880733946,0.9908256880733946,0.12624196376388078
all,750,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,780,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,810,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,840,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,870,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,900,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,930,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,960,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,990,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,1020,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,1050,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,1080,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,1110,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,1140,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,1170,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,1200,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,1230,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,1260,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,1290,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,1320,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,1350,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,1380,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,1410,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
all,1440,1841,1.0,0.08639136555607696,218,1.0,1.0,0.11841390548614883
connect,0,0,0.0,0.0,0,0.0,0.0,0.0
connect,30,131,0.16113161131611317,0.0061473486625997185,40,0.5797101449275363,0.1834862385321101,0.3053435114503817
connect,60,181,0.22263222632226323,0.008493664946034726,48,0.6956521739130435,0.22018348623853212,0.26519337016574585
connect,90,260,0.3198031980319803,0.012200844673862036,56,0.8115942028985508,0.25688073394495414,0.2153846153846154
connect,120,295,0.3628536285362854,0.013843266072266542,59,0.855072463768116,0.2706422018348624,0.2
connect,150,345,0.42435424354243545,0.01618958235570155,62,0.8985507246376812,0.28440366972477066,0.17971014492753623
connect,180,372,0.4575645756457565,0.01745659314875645,64,0.927536231884058,0.29357798165137616,0.17204301075268819
connect,210,409,0.5030750307503075,0.01919286719849836,65,0.9420289855072463,0.2981651376146789,0.15892420537897312
connect,240,430,0.5289052890528906,0.02017832003754106,66,0.9565217391304348,0.30275229357798167,0.15348837209302327
connect,270,465,0.5719557195571956,0.021820741435945566,67,0.9710144927536232,0.3073394495412844,0.14408602150537633
connect,300,478,0.5879458794587946,0.022430783669638667,67,0.9710144927536232,0.3073394495412844,0.1401673640167364
connect,330,489,0.6014760147601476,0.02294697325199437,67,0.9710144927536232,0.3073394495412844,0.13701431492842536
connect,360,500,0.6150061500615006,0.02346316283435007,67,0.9710144927536232,0.3073394495412844,0.134
connect,390,517,0.6359163591635917,0.024260910370717974,67,0.9710144927536232,0.3073394495412844,0.12959381044487428
connect,420,522,0.6420664206642066,0.024495541999061475,67,0.9710144927536232,0.3073394495412844,0.12835249042145594
connect,450,540,0.6642066420664207,0.025340215861098078,67,0.9710144927536232,0.3073394495412844,0.12407407407407407
connect,480,550,0.6765067650676507,0.025809479117785077,67,0.9710144927536232,0.3073394495412844,0.12181818181818181
connect,510,567,0.6974169741697417,0.02660722665415298,67,0.9710144927536232,0.3073394495412844,0.11816578483245149
